Acc1_LR_SISFALL,Acc2_LDA_SISFALL,Acc3_KNN_SISFALL,Acc4_DTC_SISFALL,Acc5_GNB_SISFALL,Acc6_SVM_SISFALL,Acc7_RF_SISFALL,Acc8_XG_SISFALL
0.7019381875,0.7265584075,0.9895233106,0.9727606076,0.7674174961,0.9476165532,0.983237297,0.9858564694
0.7291775799,0.759559979,0.9889994762,0.9738082766,0.7537977999,0.9481403876,0.9821896281,0.9811419591
0.7045573599,0.7585123101,0.992142483,0.9711891042,0.7600838135,0.9607124149,0.9900471451,0.991094814
0.7244630697,0.7480356207,0.9863803038,0.967522263,0.7569408067,0.9539025668,0.9837611315,0.983237297
0.7867993714,0.751702462,0.9889994762,0.9743321111,0.7742273442,0.9455212153,0.9853326349,0.9869041383
0.7501309586,0.7454164484,0.9905709796,0.9811419591,0.7422734416,0.9591409115,0.9863803038,0.9848088004
0.7202723939,0.7365112624,0.9837611315,0.9607124149,0.7616553169,0.9512833944,0.9790466213,0.9811419591
0.7826086957,0.7611314825,0.9884756417,0.9706652698,0.7637506548,0.9470927187,0.9837611315,0.9879518072
0.7532739654,0.7475117863,0.9863803038,0.9711891042,0.7548454688,0.9491880566,0.9848088004,0.9895233106
0.7082242012,0.7380827658,0.992142483,0.9790466213,0.760607648,0.9559979047,0.984284966,0.9874279728
